model,"model parameters, B",language,tokens_used_lape_tokenizer,lang_specific_neurons,lang_specific_neurons_pct,vocab_size,total_words_used,common_tokens_budget,fertility_tokens_per_word,unique_tokens,unique_token_fraction,num_unique_chars,num_non_ascii_chars,shared_en_token_count,shared_en_token_fraction,shared_ru_token_count,shared_ru_token_fraction,shared_turkish_token_count,shared_turkish_token_fraction,chars_per_token_mean,chars_per_token_std,n_questions_subset,MeanTokenNLL_mean,MeanTokenNLL_std,SequenceNLL_mean,SequenceNLL_std,MeanTokenEntropy_mean,MeanTokenEntropy_std,RAUQ_mean,RAUQ_std,Focus_mean,Focus_std,lexical_similarity_mean,lexical_similarity_std,degmat_mean,degmat_std,eigvallaplacian_mean,eigvallaplacian_std,eccentricity_mean,eccentricity_std,eccentricity_infs_cnt,subset_accuracy,total_questions,total_correct,total_n_unparseable,total_accuracy,n_unseen,unseen_accuracy
qwen2.5-7b-instruct,7,turkish,31837,673,0.127,151665,11770,31993,2.704927782,2993,0.01973428279,116,27,530,0.177079853,135,0.04510524557,2993,1,2.972202155,2.296747065,145,0.094887,0.095777,2.013649,3.305521,0.256695,0.253976,1.495574,0.122631,2.935124,1.809928,-0.416585,0.303965,0.287328,0.21706,2.796854,0.214614,19.059799,24.311622,3,58.62,945,533,15,56.4,800,56
qwen2.5-7b-instruct,7,uyghur-arabic,31815,1759,0.332,151665,6247,31993,5.092844565,554,0.003652787393,152,75,135,0.2436823105,96,0.1732851986,139,0.2509025271,2.399874273,1.078178713,145,0.13829,0.160411,5.939571,10.090888,0.422087,0.457747,1.657046,0.204103,6.755618,3.773997,-0.653194,0.295204,0.524052,0.250729,2.392668,0.478856,38.889408,31.071306,16,35.17,519,211,9,40.66,374,42.78
qwen2.5-7b-instruct,7,uyghur-latin,31807,748,0.141,151665,10049,31993,3.165190566,1645,0.01084627304,117,51,398,0.2419452888,101,0.06139817629,748,0.4547112462,2.296852894,1.147861143,145,0.138542,0.154928,6.619309,9.775609,0.349911,0.402715,1.752677,0.237418,8.147824,4.458962,-0.552092,0.331027,0.412263,0.27019,2.567858,0.444177,30.815899,31.84384,8,30.34,519,170,1,32.76,374,33.69
qwen2.5-7b-instruct,7,uzbek-latin,31771,1014,0.191,151665,9734,31993,3.263920279,2296,0.0151386279,109,23,580,0.2526132404,145,0.0631533101,956,0.4163763066,2.144345472,1.10986125,145,0.086407,0.107418,0.951764,2.574318,0.177833,0.222829,1.177306,0.372136,2.440812,1.323304,-0.400924,0.259861,0.305929,0.207317,2.799937,0.173386,30.524791,20.208868,18,26.9,735,225,12,30.61,590,31.53
qwen2.5-7b-instruct,7,uzbek-cyrillic,31890,893,0.168,151665,8194,31993,3.891872102,1068,0.007041835625,159,84,154,0.1441947566,733,0.686329588,165,0.154494382,2.867513327,1.708537973,145,0.122385,0.153039,4.708293,9.552877,0.286849,0.379064,1.542095,0.18377,3.860198,3.100874,-0.478287,0.295486,0.358908,0.241291,2.677197,0.361577,31.047128,24.391173,9,32.41,735,253,25,34.42,590,34.92
model,"model parameters, B",language,tokens_used_lape_tokenizer,lang_specific_neurons,lang_specific_neurons_pct,vocab_size,total_words_used,common_tokens_budget,fertility_tokens_per_word,unique_tokens,unique_token_fraction,num_unique_chars,num_non_ascii_chars,shared_en_token_count,shared_en_token_fraction,shared_ru_token_count,shared_ru_token_fraction,shared_turkish_token_count,shared_turkish_token_fraction,chars_per_token_mean,chars_per_token_std,n_questions_subset,MeanTokenNLL_mean,MeanTokenNLL_std,SequenceNLL_mean,SequenceNLL_std,MeanTokenEntropy_mean,MeanTokenEntropy_std,RAUQ_mean,RAUQ_std,Focus_mean,Focus_std,lexical_similarity_mean,lexical_similarity_std,degmat_mean,degmat_std,eigvallaplacian_mean,eigvallaplacian_std,eccentricity_mean,eccentricity_std,eccentricity_infs_cnt,subset_accuracy,total_questions,total_correct,total_n_unparseable,total_accuracy,n_unseen,unseen_accuracy
llama-3.1-8b-instruct ,8,azerbaijani,31151,758,0.165,128256,9927,31221,3.138007454,2299,0.01792508733,115,29,520,0.226185298,189,0.08220965637,1040,0.4523705959,2.174825848,1.256966442,129,0.231895,0.150309,8.172283,9.074249,0.69746,0.419706,1.720629,0.145868,5.798023,3.125211,-0.869117,0.173908,0.66402,0.154022,2.139095,0.457127,43.693951,37.665994,8,39.53,735,279,95,37.96,606,37.62
llama-3.1-8b-instruct ,8,crimean-tatar-latin,31178,569,0.124,128256,10609,31221,2.938825525,2862,0.02231474551,107,18,620,0.2166317261,196,0.06848357792,1293,0.4517819706,2.467316698,1.485549556,129,0.21056,0.136006,6.177536,7.261021,0.647015,0.417571,1.689078,0.13195,6.240996,3.222905,-0.841315,0.170332,0.652275,0.147478,2.213067,0.401051,40.596465,36.603302,1,34.88,380,129,51,33.95,251,33.47
llama-3.1-8b-instruct ,8,crimean-tatar-cyrillic,31182,570,0.124,128256,8299,31221,3.757320159,1561,0.01217097056,144,67,189,0.1210762332,1051,0.6732863549,175,0.1121076233,3.256205503,1.78644119,129,0.179104,0.1504,5.164116,8.239939,0.502072,0.409071,1.656312,0.14138,7.476069,2.875433,-0.823832,0.184891,0.645961,0.155344,2.245659,0.381131,37.009854,36.643381,17,31.01,380,117,67,30.79,251,30.68
llama-3.1-8b-instruct ,8,english,31083,258,0.056,128256,21719,31221,1.431143239,5460,0.04257110778,106,16,5460,1,331,0.06062271062,557,0.102014652,4.242865875,2.907534138,129,0.189516,0.11834,7.638004,5.951834,0.411412,0.24779,1.673988,0.130531,4.442828,2.082443,-0.639919,0.249135,0.479869,0.186246,2.614693,0.215839,18.950042,27.782612,2,76.74,2157,1606,28,74.46,2028,74.31
